 nombre_local; direccion; codigo_postal; ciudad; clientes_mensuales; telefono; numero_empleados; numero_platos_menu
  sushi delicioso; Plaza de Espanya, 5471; 49330; Valencia; 689852; +34 666 390 456; 44; 6
  hamburgueseria tradicional; Calle Mayor, 61; 35785; Barcelona; 792639; +34 666 711 456; 99; 57
  falafel creativo; Plaza del Sol, 381; 64485; Madrid; 389098; +34 666 637 456; 32; 54
  pescado familiar; Plaza del Sol, 1901; 64902; Bilbao; 36836; +34 666 423 456; 98; 22
  pollo apetitoso; Paseo de Gracia, 1581; 24696; Alicante; 913591; +34 666 841 456; 38; 94
  calientes rico; Calle Mayor, 8211; 66031; Sevilla; 49317; +34 666 42 456; 57; 24
  ensaladas vegano; Plaza de Espanya, 5861; 10403; Bilbao; 167557; +34 666 642 456; 99; 34
  pescado delicioso; Calle Mayor, 291; 27827; Valencia; 469894; +34 666 274 456; 85; 40
  carne gourmet; Plaza de Espanya, 5641; 65639; Bilbao; 53727; +34 666 712 456; 100; 24
  dulces nutritivo; Plaza de Espanya, 8541; 41277; Alicante; 642196; +34 666 66 456; 73; 4
  sopas sano; Plaza del Sol, 9161; 17952; Madrid; 962387; +34 666 585 456; 52; 18
  veganos delicioso; Avenida de la Paz, 4051; 14955; Murcia; 502860; +34 666 758 456; 59; 70
  restaurante con encanto; Paseo de Gracia, 1101; 32664; Malaga; 602679; +34 666 764 456; 50; 95
  bebidas casero; Plaza de Espanya, 7451; 29284; Valencia; 722669; +34 666 576 456; 51; 71
  pasta familiar; Paseo de Gracia, 3971; 41019; Valencia; 385571; +34 666 827 456; 97; 92
  calientes sano; Plaza del Sol, 1281; 45992; Malaga; 269690; +34 666 954 456; 70; 5
  bebidas original; Paseo de Gracia, 2271; 61074; Sevilla; 13506; +34 666 152 456; 96; 13
  tacos familiar; Avenida de la Paz, 3421; 60683; Valencia; 100281; +34 666 747 456; 91; 84
  pescado con encanto; Calle Mayor, 91; 24197; Barcelona; 40222; +34 666 403 456; 83; 81
  verduras economico; Calle Mayor, 7551; 51744; Malaga; 950136; +34 666 448 456; 100; 9
  guisos innovador; Paseo de Gracia, 4621; 19653; Barcelona; 667237; +34 666 146 456; 88; 96
  pollo apetitoso; Paseo de Gracia, 3521; 10787; Bilbao; 986157; +34 666 502 456; 75; 71
  horneados seductor; Plaza del Sol, 2611; 43374; Alicante; 471451; +34 666 937 456; 32; 84
  restaurante con encanto; Plaza del Sol, 391; 49080; Bilbao; 528518; +34 666 173 456; 83; 79
  pollo sabroso; Plaza de Espanya, 1221; 13058; Murcia; 688473; +34 666 430 456; 53; 85
  bebidas exotico; Plaza del Sol, 6031; 54313; Bilbao; 449125; +34 666 996 456; 36; 73
  horneados sano; Avenida de la Paz, 5691; 25197; Madrid; 770633; +34 666 759 456; 8; 96
  sopas sabroso; Plaza de Espanya, 8931; 33757; Sevilla; 406442; +34 666 161 456; 6; 51
  restaurante gourmet; Plaza del Sol, 4821; 12037; Valencia; 109866; +34 666 156 456; 29; 86
  bebidas atractivo; Plaza del Sol, 4621; 43894; Murcia; 882066; +34 666 29 456; 91; 35
  horneados tradicional; Plaza del Sol, 971; 43819; Zaragoza; 787172; +34 666 719 456; 13; 20
  bar apetitoso; Avenida de la Paz, 4461; 33739; Bilbao; 17845; +34 666 679 456; 23; 10
  bebidas gourmet; Avenida de la Paz, 7401; 57840; Murcia; 897547; +34 666 697 456; 92; 78
  sopas tradicional; Plaza de Espanya, 6471; 66359; Sevilla; 928819; +34 666 372 456; 41; 76
  vegetarianos gourmet; Plaza de Espanya, 9181; 48256; Zaragoza; 729118; +34 666 978 456; 91; 35
  verduras delicioso; Calle Mayor, 1081; 25915; Murcia; 496597; +34 666 691 456; 88; 56
  restaurante delicioso; Calle Mayor, 7041; 36251; Sevilla; 540026; +34 666 504 456; 56; 31
  frutas vegetariano; Plaza de Espanya, 6011; 52943; Alicante; 147425; +34 666 482 456; 16; 49
  pasta fresco; Plaza del Sol, 731; 65905; Barcelona; 682995; +34 666 340 456; 72; 100
  pasta nutritivo; Plaza de Espanya, 1761; 58423; Malaga; 307364; +34 666 527 456; 95; 1
  sushi seductor; Paseo de Gracia, 7291; 40982; Sevilla; 649242; +34 666 225 456; 55; 32
  vegetarianos seductor; Avenida de la Paz, 991; 33427; Sevilla; 825622; +34 666 630 456; 93; 33
  cafeteria seductor; Plaza de Espanya, 9331; 45367; Barcelona; 679575; +34 666 998 456; 21; 42
  veganos delicioso; Plaza del Sol, 8041; 14952; Valencia; 984185; +34 666 228 456; 37; 34
  picantes innovador; Plaza de Espanya, 1111; 12185; Valencia; 568659; +34 666 8 456; 49; 40
  vegetarianos familiar; Paseo de Gracia, 1301; 42536; Alicante; 888369; +34 666 374 456; 86; 62
  pizzeria delicioso; Avenida de la Paz, 4351; 44607; Zaragoza; 2828; +34 666 718 456; 98; 99
  pollo seductor; Paseo de Gracia, 7011; 48200; Alicante; 894718; +34 666 807 456; 81; 31
  falafel con encanto; Plaza de Espanya, 9561; 20007; Barcelona; 853482; +34 666 972 456; 95; 67
  calientes casero; Plaza de Espanya, 3361; 50763; Madrid; 400268; +34 666 471 456; 1; 40
  pollo innovador; Paseo de Gracia, 2021; 50291; Sevilla; 452414; +34 666 555 456; 43; 80
  verduras rico; Calle Mayor, 1671; 45117; Murcia; 236906; +34 666 7 456; 51; 47
  pizzeria gourmet; Calle Mayor, 6921; 42565; Barcelona; 245208; +34 666 652 456; 82; 85
  ensaladas atractivo; Calle Mayor, 2051; 50237; Barcelona; 311351; +34 666 257 456; 14; 50
  sopas seductor; Plaza del Sol, 2091; 46851; Malaga; 317992; +34 666 471 456; 42; 45
  restaurante nutritivo; Calle Mayor, 8101; 11595; Alicante; 755149; +34 666 471 456; 87; 50
  falafel economico; Calle Mayor, 9181; 50975; Zaragoza; 848640; +34 666 538 456; 62; 26
  hamburgueseria rico; Plaza del Sol, 9281; 69767; Madrid; 92311; +34 666 943 456; 48; 64
  postres rico; Plaza del Sol, 8181; 28165; Barcelona; 75991; +34 666 684 456; 73; 35
  sushi atractivo; Paseo de Gracia, 2221; 51858; Madrid; 869020; +34 666 84 456; 56; 80
  pollo vegetariano; Calle Mayor, 3401; 27984; Madrid; 314207; +34 666 924 456; 14; 61
  guisos innovador; Paseo de Gracia, 6191; 12425; Valencia; 241901; +34 666 444 456; 35; 100
  cafeteria rico; Calle Mayor, 9851; 32232; Sevilla; 657794; +34 666 710 456; 54; 76
  fritas nutritivo; Avenida de la Paz, 5931; 59787; Murcia; 133275; +34 666 528 456; 18; 60
  pescado creativo; Plaza del Sol, 4801; 58874; Bilbao; 802888; +34 666 918 456; 56; 12
  frios familiar; Plaza del Sol, 5851; 28452; Zaragoza; 64813; +34 666 556 456; 72; 21
  calientes fresco; Avenida de la Paz, 2531; 12774; Bilbao; 471948; +34 666 119 456; 16; 37
  veganos innovador; Avenida de la Paz, 3451; 30675; Bilbao; 534263; +34 666 615 456; 96; 30
  pasta original; Paseo de Gracia, 4841; 36702; Malaga; 649717; +34 666 539 456; 78; 68
  vegetarianos fresco; Plaza del Sol, 9381; 27717; Malaga; 222853; +34 666 916 456; 60; 43
  pollo creativo; Plaza del Sol, 1941; 45482; Murcia; 104415; +34 666 515 456; 80; 34
  picantes vegetariano; Plaza del Sol, 1211; 21581; Sevilla; 665154; +34 666 722 456; 4; 39
  guisos sabroso; Plaza del Sol, 9291; 44581; Alicante; 713969; +34 666 632 456; 52; 51
  bar atractivo; Calle Mayor, 1841; 10773; Bilbao; 979952; +34 666 360 456; 24; 70
  hamburgueseria seductor; Calle Mayor, 1711; 55405; Zaragoza; 434188; +34 666 456 456; 62; 9
  hamburgueseria tentador; Paseo de Gracia, 3721; 51890; Valencia; 718731; +34 666 373 456; 11; 17
  hamburgueseria seductor; Calle Mayor, 3771; 46240; Barcelona; 665998; +34 666 371 456; 28; 38
  sushi atractivo; Calle Mayor, 8041; 66191; Zaragoza; 475592; +34 666 293 456; 35; 34
  bebidas sano; Calle Mayor, 3291; 20603; Zaragoza; 265450; +34 666 721 456; 60; 82
  picantes innovador; Calle Mayor, 5701; 36903; Madrid; 980827; +34 666 870 456; 25; 86
  pescado atractivo; Calle Mayor, 1251; 47832; Madrid; 534892; +34 666 218 456; 24; 77
  picantes vegano; Paseo de Gracia, 7161; 19190; Murcia; 621941; +34 666 377 456; 41; 71
  fritas original; Plaza de Espanya, 3061; 26976; Alicante; 265735; +34 666 670 456; 85; 32
  pollo gourmet; Plaza del Sol, 6691; 46833; Sevilla; 29904; +34 666 38 456; 69; 65
  ensaladas delicioso; Paseo de Gracia, 1671; 14243; Murcia; 107517; +34 666 559 456; 32; 79
  verduras atractivo; Plaza del Sol, 2011; 37001; Zaragoza; 118810; +34 666 896 456; 44; 51
  restaurante exquisito; Calle Mayor, 981; 53217; Madrid; 490866; +34 666 864 456; 30; 7
  vegetarianos rico; Plaza de Espanya, 5301; 19714; Alicante; 375089; +34 666 541 456; 67; 64
  tacos moderno; Avenida de la Paz, 3751; 30419; Valencia; 57298; +34 666 210 456; 79; 96
  sopas original; Paseo de Gracia, 2631; 19668; Valencia; 348870; +34 666 990 456; 53; 76
  tacos creativo; Avenida de la Paz, 771; 48932; Bilbao; 436207; +34 666 402 456; 69; 67
  horneados sabroso; Calle Mayor, 2761; 30461; Murcia; 88342; +34 666 592 456; 85; 23
  falafel casero; Calle Mayor, 661; 44300; Barcelona; 800126; +34 666 491 456; 87; 66
  sushi fresco; Calle Mayor, 7821; 23656; Murcia; 438956; +34 666 20 456; 75; 88
  calientes rico; Paseo de Gracia, 1121; 50721; Murcia; 691506; +34 666 30 456; 66; 92
  bar atractivo; Plaza del Sol, 5771; 67586; Madrid; 79612; +34 666 923 456; 3; 21
  frutas sano; Paseo de Gracia, 801; 64407; Zaragoza; 539149; +34 666 135 456; 78; 3
  restaurante con encanto; Plaza de Espanya, 7761; 26219; Bilbao; 325808; +34 666 803 456; 59; 4
  cafeteria gourmet; Paseo de Gracia, 6501; 59811; Valencia; 207048; +34 666 883 456; 86; 40
  hamburgueseria sabroso; Avenida de la Paz, 8281; 63764; Sevilla; 16079; +34 666 84 456; 89; 90
  horneados apetitoso; Calle Mayor, 1481; 63750; Valencia; 438394; +34 666 510 456; 49; 21
